								
								
FantasyPros.com 	 							
2015 Preseason - DST Rankings 	 							
Expert Consensus Rankings (ECR) 	 							
								
 Rank 	 Player Name 	Team 	 Bye Week 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	ADP 
1	Seattle Seahawks	SEA		1	1	1	0	
2	St. Louis Rams	STL		2	4	2.6666666667	0.7453559925	
3	Buffalo Bills	BUF		2	6	3.8333333333	1.6749792702	
4	Houston Texans	HOU		2	5	4	1.1547005384	
5	Arizona Cardinals	ARI		3	6	4.5	0.9574271078	
6	New England Patriots	NE		3	11	6.3333333333	2.8087165911	
7	Denver Broncos	DEN		8	11	9.1666666667	1.2133516482	
8	Green Bay Packers	GB		6	12	9.5	2.0615528128	
9	San Francisco 49ers	SF		7	15	9.5	2.9297326385	
10	Carolina Panthers	CAR		7	14	10.1666666667	2.3392781413	
11	Baltimore Ravens	BAL		7	15	10.6666666667	2.7487370837	
12	Detroit Lions	DET		7	16	12.6666666667	2.7487370837	
13	Cincinnati Bengals	CIN		9	19	13.1666666667	3.6247605285	
14	Kansas City Chiefs	KC		8	18	14.1666666667	3.1313823713	
15	Cleveland Browns	CLE		14	20	15.6666666667	2.1343747458	
16	Miami Dolphins	MIA		12	24	17	3.6055512755	
17	Pittsburgh Steelers	PIT		13	20	17.5	2.2173557826	
18	Philadelphia Eagles	PHI		11	26	18.1666666667	4.3748015828	
19	Dallas Cowboys	DAL		12	22	18.8333333333	3.1841621958	
20	New York Jets	NYJ		6	26	16.2	7.4135011971	
21	Tampa Bay Buccaneers	TB		19	25	22	2.5298221281	
22	Indianapolis Colts	IND		18	25	21.5	2.5	
23	New York Giants	NYG		21	24	21.75	1.2990381057	
24	Minnesota Vikings	MIN		17	29	23.25	4.380353867	
25	Jacksonville Jaguars	JAC		16	28	23	5.0990195136	
26	New Orleans Saints	NO		23	31	26.75	3.3447720401	
27	San Diego Chargers	SD		20	29	25.3333333333	3.8586123009	
28	Atlanta Falcons	ATL		22	31	26.3333333333	3.6817870057	
29	Tennessee Titans	TEN		23	30	27	2.9439202888	
30	Chicago Bears	CHI		27	30	28.3333333333	1.2472191289	
31	Oakland Raiders	OAK		27	32	30.3333333333	2.357022604	
32	Washington Redskins	WAS		30	32	31	0.8164965809	
