								
								
FantasyPros.com 	 							
2015 Preseason - K Rankings 	 							
Expert Consensus Rankings (ECR) 	 							
								
 Rank 	 Player Name 	Team 	 Bye Week 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	ADP 
1	Stephen Gostkowski	NE		1	1	1	0	
2	Steven Hauschka	SEA		2	5	3.1666666667	1.0671873729	
3	Justin Tucker	BAL		2	9	4	2.4494897428	
4	Mason Crosby	GB		3	7	4.6666666667	1.2472191289	
5	Adam Vinatieri	IND		2	8	4.8333333333	1.8633899812	
6	Cody Parkey	PHI		2	10	5.8333333333	2.6718699236	
7	Dan Bailey	DAL		4	7	5.8333333333	1.0671873729	
8	Connor Barth	DEN		6	11	8.3333333333	2.0548046677	
9	Matt Bryant	ATL		7	10	8.5	0.9574271078	
10	Nick Novak	SD		9	24	13	5.5075705473	
11	Phil Dawson	SF		10	22	13	4.582575695	
12	Blair Walsh	MIN		11	23	13.8333333333	4.1399141161	
13	Matt Prater	DET		12	14	13	0.5773502692	
14	Shaun Suisham	PIT		8	14	11	2.4494897428	
15	Dan Carpenter	BUF		11	19	15	2.5166114784	
16	Shayne Graham	NO		14	20	16.3333333333	2.4944382578	
17	Caleb Sturgis	MIA		12	24	17.1666666667	3.6247605285	
18	Chandler Catanzaro	ARI		12	16	14.3333333333	1.6996731712	
19	Graham Gano	CAR		14	20	17.6666666667	2.2852182001	
20	Robbie Gould	CHI		15	25	20	3.829708431	
21	Randy Bullock	HOU		16	20	18.6	1.4966629547	
22	Sebastian Janikowski	OAK		17	30	24.25	5.1173723726	
23	Patrick Murray	TB		17	30	23.5	6.5	
24	Mike Nugent	CIN		17	27	22	3.6055512755	
25	Greg Zuerlein	STL		18	26	20.4	3.2	
26	Josh Brown	NYG		18	23	20.75	1.7853571071	
27	Nick Folk	NYJ		20	25	23.75	2.1650635095	
28	Cairo Santos	KC		21	29	24.5	2.8722813233	
29	Kai Forbath	WAS		26	27	26.5	0.5	
30	Ryan Succop	TEN		31	32	31.5	0.5	
